"segmentLabels__BUILDING","segmentLabels__VALUE","segmentLabels__BUSINESS","segmentLabels__CHECKIN","segmentLabels__LOCATION","segmentLabels__FOOD","segmentLabels__CLEANLINESS","segmentLabels__ROOMS","segmentLabels__SERVICE","segmentLabels__NOTRELATED","annotatorId","ratingOverall","ratingRoom","author","hotelId","reviewId","ratingLocation","ratingCleanliness","ratingService","ratingBusiness","ratingValue","segmentLabels__OTHER","date","ratingCheckin","segments"
"","ip","","","","","","","","","","","","","","","","","","","","","","","I stayed for two nights: with fees paid $62.00 on Hotwire per night."
"p","","","p","","","","","","","","","","","","","","","","","","","","","Very nice reception."
"","","","","","","","p","","","","","","","","","","","","","","","","","Room was large and well laid out."
"","","","","","p","","","","","","","","","","","","","","","","","","","Big breakfast included."
"","","","","p","","","","","","","","","","","","","","","","","","","","Location is excellent."
"","","","","ip","","","","","","","","","","","","","","","","","","","","I lived very nearby in Miami Springs for sixteen years, so while the neighborhood doesn't look like much I know it is just airport industrial, and safe."
"","","","","ip","","","","","","","","","","","","","","","","","","","","On the same street two or three miles past nice office parks to the west are all sorts of great restaurants."
"","","","","","","","","","","","","","","","","","","","","","p","","","Will return, in all likellihood."
"","","","","","","","","p","","1","4","4","A TripAdvisor Member","268429","268429:162","-1","5","4","-1","5","p","Oct 29, 2005","-1","Nice little hotel, friendly staff"
"","","","","","","","","","","","","","","","","","","","","","","","","My wife and I stayed at the Coral Princess Inn for 3 days during October."
"","","","","","","p","p","","","","","","","","","","","","","","","","","The room was clean and well maintained."
"","","","","","","","x","","","","","","","","","","","","","","","","","One thing we will remember about the room is that AC was freezing!!!"
"","","","","","","","x","","","","","","","","","","","","","","","","","But that isn't a bad thing."
"","","","","ip","","","","","","","","","","","","","","","","","","","","The CPI is in walking distance to all of Condado as well as on the bus route for taking a trip to Old San Juan or to Isle de Verde."
"","p","","","","","","","","","","","","","","","","","","","","","","","Great price too!"
"","","","","","","","","","","1","1","-1","A TripAdvisor Member","80788","80788:50","-1","-1","-1","-1","-1","n","Jul 8, 2004","-1","Piss Poor Pretty cheap"
"","in","","","","","","","","","","","","","","","","","","","","","","","I paid $53 per night for the Monarch, it was worth all of $20."
"","","","","","","","","","in","","","","","","","","","","","","","","","I felt right at home in the neighborhood of the Monarch, then again I live right outside of Newark NJ, which explains why our car was keyed and our mirror was ripped off."
"","","","","","","","","","","","","","","","","","","","","","","","","I must give them credit at least they left the mirror on my windshield, so I guess they weren't thieves, just vandals."
"","","","","","","","in","","","","","","","","","","","","","","","","","Upon finding out my shower didn't work, the indifferent staff gave me a new room after only 10 min of arguing, which was nice."
"","","","","","","","","","","","","","","","","","","","","","in","","","Overall, if cost is a main concern, and you want stay in a basic room for $50 with decent service, in an acceptable neighborhood, then you apparently don't have enough $$$ to stay in a San Francisco hotel, try an upgrade to a local hostel, or stay home."
"","","","","","","","","","","1","3","3","NewlywedLincoln_UK","301648","301648:29","4","4","3","-1","3","n","Aug 8, 2007","4","Overrated We were very excited about our stay - but ended up disappointed."
"","","","","","","","n","","","","","","","","","","","","","","","","","We were in a deluxe room (don't be fooled, these are the basic rooms) which was really small, compared to the fantastic villa we had in Benoa for less then half the price!)"
"","","","","","","","x","","","","","","","","","","","","","","","","","It was nicely done, but not Balinese at all, and we felt a little bit stark."
"","","","","","","","","in","","","","","","","","","","","","","","","","We arrived at lunchtime - ordered food and proceeded to wait a LONG time."
"","","","","","","","","in","","","","","","","","","","","","","","","","A couple who ordered food after us were given complimentary drinks because of the wait, but we weren't."
"","","","","","","","","","","","","","","","","","","","","","","","","Another guest was complaining about another issue at the same time, so it wasn't the best introduction."
"in","","","","","","","","","","","","","","","","","","","","","","","","The setting and pool are gorgous, but as others have said there are nowhere near enough loungers, so people were lying on the floor - not what you expect from a 5 star hotel."
"","","","","","n","","","","","","","","","","","","","","","","","","","The restaurant was pretty terrible - the worst nasi goreng I had in 2 weeks by far."
"","","","","","","","","","ip","","","","","","","","","","","","n","","","The shuttle isn't regular enough, and the town of Ubud is fantastic - loads of lovely restaurants, and quiet away from the main streets - I would really recommend staying in the town."
"","","","","","p","","","","","","","","","","","","","","","","","","","One absolute positive - the breakfast is fantastic - and free room delivery is well worth it!Overall, I think it just doesn't stack up with other 5 star hotels - the comparison to the Oberoi Seminyak is laughable - now that really is worth it!"
"","","","","","","","","","","2","5","5","elsabran","506158","506158:339","5","5","5","5","5","p","Aug 6, 2006","5","Fantastic hotel - will be going back asap!"
"","","","","","","","","","x","","","","","","","","","","","","","","","A colleague and myself stayed at 1898 at the beginning of July for a work trip."
"","p","p","","","","","","","","","","","","","","","","","","","","","","We both work in the fashion industry and would be bringing clients back to the hotel so we needed somewhere that would impress - and it certainly did.Because the hotel is newish, we managed to get quite a good rate on the room."
"","p","","","","","","","","","","","","","","","","","","","","","","","It was around the same price as some of the more traditional hotels on La Ramblas but you got so much more for your money."
"p","","","","","","","","","","","","","","","","","","","","","","","","The hotel is really modern but has an old school charm, for example dark oak walls and marble floored bathroom."
"p","","","","","","","","","","","","","","","","","","","","","","","","It adds a cosy feel without losing the sleekness."
"","","","","","","","p","","","","","","","","","","","","","","","","","Oh by the way, bedrooms have a free pillow menu!"
"","","","","","p","","","","","","","","","","","","","","","","","","","Breakfast was great and catered for all the health freaks to full on english breakfast and cakes."
"","","","","p","","","","","","","","","","","","","","","","","","","","Location could not be better - you're right in the middle of the centre but we were never disturbed by noise since the rooms are sound-proof.I was on a work trip so only managed to check out the rooftop pool once but it was so lovely sitting on the deck with a cocktail."
"","","","","p","","","","","","","","","","","","","","","","","p","","","The views of the city were great and it was so quiet from where we were - you would forget you were in a busy city.I had a full body massage which was so relaxing that I almost fell asleep at dinner later on!We will be going back next year and so will our clients - everyone loves it!"
"","","","","p","","","","","","0","4","-1","smokey629","228634","228634:67","-1","-1","-1","-1","-1","p","Oct 9, 2007","-1","loved the royal hotel is in excellent location on"
"","","","","p","","","","","","","","","","","","","","","","","","","","La rambla ---close to everything to see and transportation."
"","","","","","p","p","p","","","","","","","","","","","","","","","","","room was attractive, clean, adequate size and very quiet even though faced on La rambla. restaurant was convenient and good for all meals though lots of small restaurants in area provideding easy access for meals."
"","","","p","","","","","","","","","","","","","","","","","","p","","","Desk staff very helpful and pleasant---would definitely stay there again."
"","","","","","","","","","","1","2","1","l0nelyw0lf","238565","238565:2","5","3","3","2","2","in","Aug 29, 2008","4","Bedbuggs !!!"
"","","","","","","","","","","","","","","","","","","","","","","","","I decided to stay in"
"","","","","","","","n","","","","","","","","","","","","","","","","","A-Train after reading all these good reviews.I stayed in first class room (nothing first class about it; small room, no amenities - shampoo etc available) and after the third night (they had not changed the sheets) I found a little blood in the sheets."
"","","","","","","","n","","","","","","","","","","","","","","","","","My alarm bells did not ring then....The fouth morning the bed was covered with bedbuggs and they had eaten me all over."
"","","","","","","","","in","","","","","","","","","","","","","","","","I complained at the Reception and all they did was only noting it down, they did not apology and the matter did not seem to suprise them."
"","","","","","","","","","","","","","","","","","","","","","in","","","Luckily that was my last night at the A-Train."
"","","","","","","","in","","","","","","","","","","","","","","","","","Besides this the room was on the very busy street side and there were roadworks going on during the night."
"","","","","","","","","","","","","","","","","","","","","","","","","Luckily I managed to purchase earplugs later."
"","","","","","p","","","","","","","","","","","","","","","","","","","On the positive side the breakfast and the breakfastroom were very nice and the personnel was nice (untill I complaint about the bugs)."
"","","","","","","","","p","","0","4","3","A TripAdvisor Member","223041","223041:120","-1","4","5","-1","4","p","Apr 18, 2006","-1","Comfortable, friendly hotel"
"","","","","","","","","","","","","","","","","","","","","","","","","My friend and I stayed at the Elan in late February."
"","","","","p","","","","","","","","","","","","","","","","","","","","Location was great."
"","","","","p","","","","","","","","","","","","","","","","","","","","There were restaurants,Beverley Centre,laundrette, shops, all very close."
"","","","","p","","","","","","","","","","","","","","","","","","","","Public transport was very accessible."
"","","","","","","","","p","","","","","","","","","","","","","","","","The staff at the hotel were extremely helpful and courteous."
"","","","","","","p","p","","","","","","","","","","","","","","","","","The rooms were quite nice and clean."
"","","","","","","","p","","","","","","","","","","","","","","","","","Bathrooms were good."
"","","","","","","","","","","","","","","","","","","","","","p","","","The free internet was a godsend."
"p","","","","","","","","","","","","","","","","","","","","","","","","The breakfast area next to the lobby was excellent with the morning sun beating in."
"","","","","","p","","","","","","","","","","","","","","","","","","","The continental breakfast on offer was ideal with bagels ,cereals ,tea coffee, fresh fruit."
"","","","","","","","","","","","","","","","","","","","","","p","","","We had a very pleasant stay and I would highly recommend anyone to stay there."
"","","","","","","","","","","0","5","4","mrsbridges","192044","192044:88","5","5","4","4","5","p","Jul 7, 2008","4","Perfect!"
"","p","","","","","","","","","","","","","","","","","","","","","","","Had booked this hotel for a 10-night stay (got a great deal via"
"","","","","","","","","","","","","","","","","","","","","","","","","HotelConnect) mainly based on the many great reviews here."
"","","","","","","","","","","","","","","","","","","","","","p","","","And it fully lived up to our expectations!"
"","","","x","","","","","","","","","","","","","","","","","","","","","Check-in a bit late - but it was a busy time for the hotel, and there's plenty to do just on the doorstep, so that was okay!"
"","","","","p","","","","","","","","","","","","","","","","","","","","Great location - plenty to see, and good train/tube connections."
"","","","","p","","","","","","","","","","","","","","","","","","","","Charing Cross only 10 mins by train."
"","","","","p","","","","","","","","","","","","","","","","","","","","Even Portobello - which is in the direct opposite of London - only took less than 陆 hour by tube."
"","","","","","","","","p","","","","","","","","","","","","","","","","Staff was friendly and hard-working - yes, many are from other European countries, but all work hard and are very friendly, so I can't see why some reviewers (and even some hotel-guests we overheard) would mention it as if it was a negative!"
"","","","","","","p","p","","","","","","","","","","","","","","","","","Beds comfy, room spotless, good sanitary appliances as opposed to usual British plumbing!"
"","","","","","","","p","","","","","","","","","","","","","","","","","Nice tub."
"","","","","","","","p","","","","","","","","","","","","","","","","","Fluffy towels."
"","","","","","","","ip","","","","","","","","","","","","","","","","","Miller-Harris smellies."
"","","","","","x","","","","","","","","","","","","","","","","","","","Breakfast was typical hotel fare, not especially exciting, but fresh, varied and plentiful."
"","","","","","p","","","p","","","","","","","","","","","","","","","","Room-service fast and delicious, great selection of food."
"","","","","","","","","","p","","","","","","","","","","","","","","","Ate dinner at Georgetown - highly recommended!"
"","","","","","","","","","p","","","","","","","","","","","","","","","There are plenty of places to eat in the area around the hotel (try the baguette-sandwiches from Patisserie Paul in the tube-vaults)."
"","","","","","","","","","","1","1","-1","A TripAdvisor Member","247957","247957:1088","-1","-1","-1","-1","-1","in","Nov 29, 2003","-1","Vacation From Hell"
"","","","","","","","","","","","","","","","","","","","","","","","","November 26, 2003My husband and I are two of Air Transat Holidays unfortunate clients who spent the week of November 7 to 14 in the Dominican Republic staying at the Occidental Gran Flamenco, Punta Cana."
"","","","","","","","","","","","","","","","","","","","","","in","","","Thier brochure and website rate this hotel as a four and half star property, but at the time of our visit it did not meet the standard of a three star property."
"in","","","","","","","","","","","","","","","","","","","","","","","","At the time of our visit, the buffet, beach club and several restaurants were under renovation."
"","","","","","","","","","","","","","","","","","","","","","","","","Our decision on this property was made based on the information in the Air Transat Holidays brochure and the Occidental Gran Flamenco website, neither of which mentioned any renovations."
"","","","","","","","","","","","","","","","","","","","","","","","","The renovations to the buffet resulted in the buffet being served in the stage area and theGrill Restaurant."
"","","","","","","","","","","","","","","","","","","","","","in","","","There was not enough seating for the number or guests and because the buffet was divided into two sections; it was necessary to go to both lines to obtain a complete meal."
"","","","","","","","","","","","","","","","","","","","","","in","","","The result was if you ate at the buffet, you had to wait for a table and stand in two lines to obtain your meal."
"","","","","","","","","","","","","","","","","","","","","","in","","","Not once during our stay were we able to enjoy a hot meal from the buffet."
"","","","","","n","","","","","","","","","","","","","","","","","","","We had to eat at dirty tables, surrounded by dirty dishes to consume lukewarm or cold meals."
"","","","","","","","","in","","","","","","","","","","","","","","","","It was very difficult to obtain a reservation to dine at the a la carte restaurants."
"","","","","","","","","in","","","","","","","","","","","","","","","","The reservation system allowed only you to reserve for the current day or the day following."
"","","","","","","","","","","","","","","","","","","","","","","","","There was so much demand that all spots available were filled before 9:00am."
"","","","","","","","","","","","","","","","","","","","","","","","","During our stay, we were able to obtain reservations for only two dinners."
"","","","","","n","","","","","","","","","","","","","","","","","","","For our meal at The Grill restaurant, my husband was served tenderloin of beef that was rancid."
"","","","","","","","","in","","","","","","","","","","","","","","","","The staff at the restaurant were unapologetic and made no effort satisfy the problem."
"","","","","","","","","in","","","","","","","","","","","","","","","","We reported this incident immediately to guest services at the hotel, but there was no further response from the hotel."
"","","","","","","","","","","","","","","","","","","","","","","","","It was at this time we tried to contact the Air Transat Holidays representative for Punta Cana, she did not answer at the number we had been given at any time between 7:30 to10:00 pm."
"","","","","","","","","","","","","","","","","","","","","","","","","We left a detailed message the following morning but received no response that day and the following day was her day off."
"","","","","","","","","","","","","","","","","","","","","","","","","If we had been able to contact her, we would have requested a change in accommodation."
"","","","","","","","","","","","","","","","","","","","","","","","","Since we were not able to do so we remained at the Flamenco, where the next morning a note under our door informed us that more renovations were planned which interfered with the operation of the both the Mexican and the Italian restaurant."
"","","","","","","","","","","","","","","","","","","","","","","","","That made all their restaurants under some degree of renovation with no clear plan on how to provide food services to their guests."
"","","","","","","","n","n","","","","","","","","","","","","","","","","In addition to the problem with food services at the Flamenco, we had one complete day with no running water in our room and the service at the beach left much to be desired."
"","","","","","","","","in","","","","","","","","","","","","","","","","Often we were not able to obtain beach towels, some days the wait was an hour, on others days the staff had no idea when more towels were coming."
"","","","","","","","","","","","","","","","","","","","","","","","","We had to keep our dirty towels or go without."
"","","","","","","","","","","","","","","","","","","","","","","","","The brochure advertises that windsurfing, kayaking, and sailing are included."
"","","","","","","","","","","","","","","","","","","","","","","","","During our stay, despite many requests we were never able to persuade the staff to put a sailboat in the water."
"","","","","","","","","","","","","","","","","","","","","","","","","The constant explanation was that it was either too windy or too wavy."
"","","","","","","","","","","","","","","","","","","","","","","","","The resorts on either side of us must have completely different weather as their sailboats and kayaks were constantly in the water."
"","","","","","","","","in","","","","","","","","","","","","","","","","The beach staff at the Flamenco were interested only in selling us the motorized sports that were not included in our package."
"","","","","","","","","","","","","","","","","","","","","","in","","","If we had been informed about the renovations at the Gran Flamenco when we were making our reservation, we would have chosen a different property."
"","","","","","","","","","","","","","","","","","","","","","","","","I spoke directly with Air Transat reservations to assist in choosing a property because this was our first visit to the Dominican."
"","","","","","","","","","p","","","","","","","","","","","","","","","The other services we received from Air Transat for this vacation were exceptional; the staff at the Vancouver airport was helpful and polite."
"","","","","","","","","","p","","","","","","","","","","","","","","","The flight crew on our flights were wonderful."
"","","","","","","","","","p","","","","","","","","","","","","","","","The transfers worked smoothly and our accommodation in Vancouver was just as advertised."
"","","","","","n","","","n","","","","","","","","","","","","","","","","However, what should have been the best part of our vacation the time in Punta Cana fell far short of our expectations, because of the inferior food service and inadequate service at the beach."
"","","","","","","","","","","","","","","","","","","","","","","","","I am sure that our complaint is not the only one they will receive about the problems at the Gran Flamenco, Punta Cana as there were many unsatisfied guests there."
"","","","","","","","","in","","","","","","","","","","","","","","","","Neither the staff of the hotel or your representative in Punta Cana showed any interest in resolving any of the problems we encountered; we certainly hope that this is not indicative of your company policy."
"","","","","","","","","","","","","","","","","","","","","","in","","","The problems at the hotel resulted in our having a vacation from hell instead of a vacation in paradise."
"","","","","","","","","","","","","","","","","","","","","","","","","The complaints we have expressed in this letter are a brief overview and do not constitute a comprehensive list of the problems we encountered at the hotel."
"","","","","","","","","","","","","","","","","","","","","","","","","If you wish to hear more details, please contact us and we will be glad to provide them."
"","","","","","","","","","","","","","","","","","","","","","","","","Sue_wilman @hotmail."
"","","","","","","","","","","","","","","","","","","","","","","","","com Sincerely,Frank and Suzanne Wilmancc: Carlson Travel Hotel Occidental Grand Flamenco"
"","","","","","","","","p","","0","5","4","theraysfan","100581","100581:9","4","4","4","-1","5","","Sep 3, 2008","5","Kind and Considerate"
"","p","","","","","","","","","","","","","","","","","","","","","","","We booked this hotel after reading several reviews as it seemed like the best deal when we compared the rates to the downtown hotels."
"","","","","","","","","p","","","","","","","","","","","","","","","","Most of the reviews stated that the staff was very helpful and friendly."
"","","","","","","","","ip","","","","","","","","","","","","","","","","We found this to be the case in a very special way."
"","","","","","","","","","","","","","","","","","","","","","","","","We were to attend the Mariners game on Saturday night and were running late as we were coming in from Eugene."
"","","","","","","","","","","","","","","","","","","","","","","","","We were unable to stop at the hotel before the game."
"","","","","","","","","","","","","","","","","","","","","","","","","We came out from the game and our rental's window had been broken and everything we owned was stolen."
"","","","","","","","","","","","","","","","","","","","","","","","","We called Jeff at the hotel to tell him we would be late and to be sure and hold the room."
"","","","","","","","","","","","","","","","","","","","","","","","","We finally arrived around 2 AM as the police never came to the scene."
"","","","ip","","","","","","","","","","","","","","","","","","","","","Jeff helped us to get the basic necessities and was on the lookout for the police who finally arrived around 3."
"","","","","","","","","p","","","","","","","","","","","","","","","","The rest of the staff was very helpful the remaining days of our stay, but we can never thank Jeff enough for his support that evening."
"","","","","","","p","p","","","","","","","","","","","","","","","","","The room was very nice and clean."
"","p","","","","","","","","","","","","","","","","","","","","","","","The University Inn is a very good deal that I would recommend to our friends."
"","","","","","","","","","","","","","","","","","","","","","","","","Watch out where you park in Seattle."
"","","","","","","","","","","","","","","","","","","","","","","","","The night we returned our rental two gentlemen in a Lincoln suffered the same fate."
"","","","","","","","","","","2","3","-1","HeathW","148598","148598:11","-1","-1","-1","-1","-1","x","Dec 20, 2008","-1","Good enough, but not that great."
"","","","","","","","","","","","","","","","","","","","","","x","","","View from our Jr."
"","","","","","","","","","","","","","","","","","","","","","x","","","Suite (upgrade from ""Ocean View"")."
"","","","","","","","","","","","","","","","","","","","","","x","","","Go figure."
"","","","","","","","","","","0","5","5","mazztravel","230550","230550:175","-1","5","5","-1","5","p","Mar 5, 2006","-1","Excellent!!!"
"","","","","","","","","","","","","","","","","","","","","","","","","I was a little dubious about this hotel after reading some of the reviews but"
"","","","","","","","","","","","","","","","","","","","","","","","","I took a chance due to our flight getting in a little late."
"","","","","p","","","","","","","","","","","","","","","","","","","","It is an ideally located hotel as we got off great airport express to Alexanderplatz, came out the station at the foot of the hotel."
"","","","p","","","p","p","","","","","","","","","","","","","","","","","Reception staff smiley and helpfull, okay the room was small but spotless, well comfy beds, great view across berlin and breakfast well and truly fed us."
"","p","","","","","","","","","","","","","","","","","","","","","","","For 拢168 quid two adults three nights B and B you cannot be robbed!"
"","","","","","","","","","n","","","","","","","","","","","","ip","","","I saw the other hotels as we went on an excellent Bike tour with fat tire bike tours an excellent way to see the sights and meet new people, the other hotels not wanting to dis them looked very run down and trading on a name ie hilton and raddison!"
"","","","","","","","","","","","","","","","","","","","","","p","","","overall a great hotel."
"","","","","","","","","","","2","1","-1","mortonl","112328","112328:43","-1","-1","-1","-1","5","n","May 27, 2008","-1","Pretentious, pretentious, pretentious..."
"","","","","","","","","","x","","","","","","","","","","","","","","","Stayed here for a night with some friends for a wedding."
"","","","","","","","","n","","","","","","","","","","","","","","","","The hotel staff was rude and acted like a bunch of premadonas."
"","","","","","","","","","","","","","","","","","","","","","","","","Everyone assoctated with this place thought their you know what didn't stink."
"","","","","","","","","","x","","","","","","","","","","","","","","","I would highly reccommend a hotel called The Phoenix over this place."
"","","","","","","","","","x","","","","","","","","","","","","n","","","At least there you can get good service and a more confortable experience."
"","","","","","","","","","x","","","","","","","","","","","","","","","Please take my advice..."
"","","","","","","","","","","","","","","","","","","","","","n","","","Stay away from THe Clift Hotel."
"","","","","","","","","","","","","","","","","","","","","","n","","","Unless you are into travel nightmares."
"","","","","","","","","n","","2","1","1","OzYorkshire","85005","85005:14","2","1","1","-1","1","n","Dec 4, 2007","1","Poor Hotel and Staff"
"","","","","","","n","n","","","","","","","","","","","","","","n","","","This place is terrible, we arrived after a flight from Gatwick, UK we wanted to book in, get a coffee and a meal, bed and ready for the cruise the following day, we were told our room number by a chap that wanted to be elswhere, the room was on the 1st floor, we had 2 heavy pieces of luggage and the lift was out of order, we got to the room which had a strong musty smell, the bathroom was small but clean, the wash basin is not in the bathroom but in the main room ?"
"","","","","","","n","","n","","","","","","","","","","","","","","","","the room was not very clean, although the beds were ok.We wanted a coffee, but at 9.30pm we could not get one, when I asked at reception they said it was not possible."
"","","","","","","","","","x","","","","","","","","","","","","","","","We went to Bannigans next door which is adequate for a supper and a beer."
"","","","","","","","","n","","","","","","","","","","","","","","","","The following morning I was up at 5.30 am and wanted a coffeeonce again this was not available until 6am, WHY ?"
"","","","","","in","","","","","","","","","","","","","","","","","","","The breakfast consisted of doughnuts and muffins, if you were quick enough."
"","","","","","","","","","","","","","","","","","","","","","in","","","As I booked through Carnival I assumed the hotel would be of a decent standard, Carnival should look at this part of the operation, the feel good experience should start when we get to Miami."
"","","","","","","","","","","","","","","","","","","","","","n","","","If you have a choice DONT STAY HERE."
"","","","","","","","","","","0","5","5","NYHoward","224953","224953:25","5","5","5","-1","3","p","Oct 29, 2007","5","Wonderful Experience My brother got married on Sunday"
"","","","","","","","","","","","","","","","","","","","","","","","","Oct 29 in a winery in Sonoma."
"","","","","","","","","","","","","","","","","","","","","","","","","My wife and I decided to fly in early and spend a night in San Francisco."
"","","","","","","","","","","","","","","","","","","","","","","","","After reading all the reviews we decided to stay Friday night Oct 26th at the Four Seasons."
"","","","","","","","","","","","","","","","","","","","","","","","","I booked the reservation thru their website and got a rate of $425 for a Superior Room."
"","","","","","","","","","","","","","","","","","","","","","p","","","Themoment we arrived we new we made the right choice!"
"","","","","","","","","","","","","","","","","","","","","","p","","","The experience was first class all the way."
"","","","p","","","","","","","","","","","","","","","","","","","","","Check in was fast and curtious."
"","","","","","","","x","","","","","","","","","","","","","","","","","The only little complaint I had was that the room was a corner (#827) and the left and front were all windows so the TV was actually to the right of the bed which made watching in bed difficult."
"","","","","","","","x","","","","","","","","","","","","","","","","","Not a huge issue but worth noting."
"","","","","","","p","p","","","","","","","","","","","","","","","","","The bathroom was huge, spotless and beautiful!"
"","","","","","","","p","","","","","","","","","","","","","","","","","The bed was very comfortable and the even with the 2 walls of glass, the room darkeners kept in pitch black."
"","x","","","","","","","","","","","","","","","","","","","","","","","We ate all our meals off premises, so I can not comment on the in hotel restaurant other than it was very expensive."
"","","","","p","","","","","","","","","","","","","","","","","","","","The location is perfect and I highly recommend the spa at the attached LA sports Club."
"","","","","","","","","","","","","","","","","","","","","","p","","","Great massage!"
"","","","","p","","","","","","2","5","5","23Feb45","194308","194308:45","5","5","5","5","5","","Jul 13, 2007","5","Just Right This hotel is in the perfect location, especially for the touristy traveler."
"","","","","p","","","","","","","","","","","","","","","","","","","","Nothing is too far away."
"","","","","","","","","p","","","","","","","","","","","","","","","","The staff is very friendly and speak excellent english."
"","","","","","p","","","","","","","","","","","","","","","","","","","The breakfast buffet is the closest thing to an American breakfast on the Left Bank."
"","","","","","","","","","","","","","","","","","","","","","p","","","Even after I read this hotel's excellent reviews, it still exceeded my expectations."
"","","","","","","","","p","","","","","","","","","","","","","","","","The very friendly front desk staff made excellent dinner recommendations and on one occassion even accompanied me to the nearby restaurant!"
"","","","","","","","x","","","","","","","","","","","","","","","","","Don't expect a room with a view, and the hotel is on a fairly busy street, but they do have live jazz nightly."
"","","","","","","","","","","","","","","","","","","","","","p","","","If you're looking for a great place to stay on the happening Left Bank, this should be your choice - you won't regret it."
"","","","","p","","","","","","0","4","2","A TripAdvisor Member","231526","231526:72","-1","4","3","-1","4","","May 2, 2005","-1","Ideal position Excellent location between"
"","","","","ip","","","","","","","","","","","","","","","","","","","","Cathedral (200m) and the famous Rambla(500m) yet in safe quieter side street."
"","","","","","","","x","","","","","","","","","","","","","","","","","Take rooms on side or rear."
"","","","","","","","x","","","","","","","","","","","","","","","","","Tourist class accomodation but adequate."
"","","","","","","","n","","","","","","","","","","","","","","","","","My twin room was small for two and air conditioning barely adequate."
"","","","","","","","","x","","","","","","","","","","","","","","","","Staff neither gushing nor aloof."
"","","","","","n","","","","","","","","","","","","","","","","","","","Breakfast at 12 euros is pricey for what is available better to pop out to local cafe."
"","","","","","","","n","","","","","","","","","","","","","","","","","Bathroom tired and towels grey!"
"","","","","","","p","","","","","","","","","","","","","","","","","","but clean and fresh."
"","p","","","","","","","","","","","","","","","","","","","","","","","For the money I recommend this because of it position and has all the things needed."
"","","","","x","","","","","","","","","","","","","","","","","","","","Note pedestrian area of the Rambla means in the evening taxis cannot approach and a walk may be required."
"","","","","","","","","","","1","5","5","jillanson","583034","583034:402","-1","-1","5","-1","5","p","Jul 3, 2006","-1","Absolutly Amazing!!!!"
"","","","","","","","","","","","","","","","","","","","","","","","","I just recently stayed at the Paradisus Palma Real"
"","","","","","","","","","","","","","","","","","","","","","","","","May 31 - 3 Nights."
